annee;diplome;numero_de_l_etablissement;etablissement;etablissementactuel;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc;id_paysage
2015;MASTER LMD;0632035V;Clermont Auvergne;Université Clermont Auvergne (UCA);A06;Clermont-Ferrand;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;26;79;4;ns;ns;ns;ns;ns;ns;35;7.6;1825;ns;ns;ns;1460;2180;Clermont Auvergne_30;disc10_30;FvH4k
2015;MASTER LMD;0632035V;Clermont Auvergne;Université Clermont Auvergne (UCA);A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;70;84;10;89;98;72;100;1680;26300;35;7.6;1825;54;52;60;1460;2180;Clermont Auvergne_30;disc13_30;FvH4k
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;DEG;Droit, Économie et gestion;disc03;Économie;30 mois après le diplôme;;27;82;10;ns;ns;ns;ns;ns;ns;33;8.4;1750;ns;ns;ns;1390;2060;Pau - Pays de l'Adour_30;disc03_30;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;DEG;Droit, Économie et gestion;disc04;Gestion;30 mois après le diplôme;;71;88;27;93;85;82;98;1900;29600;33;8.4;1750;49;37;53;1390;2060;Pau - Pays de l'Adour_30;disc04_30;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;DEG;Droit, Économie et gestion;disc04;Gestion;18 mois après le diplôme;;71;88;27;95;86;67;97;1710;26700;33;8.4;1750;50;37;53;1390;2060;Pau - Pays de l'Adour_18;disc04_18;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;38;92;13;67;ns;ns;ns;ns;ns;33;8.4;1750;ns;ns;68;1390;2060;Pau - Pays de l'Adour_18;disc07_18;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;25;91;9;ns;ns;ns;ns;ns;ns;33;8.4;1750;ns;ns;ns;1390;2060;Pau - Pays de l'Adour_30;disc11_30;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;25;91;9;ns;ns;ns;ns;ns;ns;33;8.4;1750;ns;ns;ns;1390;2060;Pau - Pays de l'Adour_18;disc11_18;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;22;96;8;ns;ns;ns;ns;ns;ns;33;8.4;1750;ns;ns;ns;1390;2060;Pau - Pays de l'Adour_30;disc16_30;Mz286
2015;MASTER LMD;0640251A;Pau - Pays de l'Adour;;A04;Bordeaux;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;11;75;5;ns;ns;ns;ns;ns;ns;33;8.4;1750;ns;ns;ns;1390;2060;Pau - Pays de l'Adour_18;disc17_18;Mz286
2015;MASTER ENS;0660437S;Perpignan - Via Domitia;;A11;Montpellier;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à  l'enquÃªte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;8;64;;;;;;;;37;10.5;1770;;;;1400;2110;Perpignan - Via Domitia_18;disc18_18;n1W55
2015;MASTER LMD;0660437S;Perpignan - Via Domitia;;A11;Montpellier;DEG;Droit, Économie et gestion;disc03;Économie;30 mois après le diplôme;;40;71;21;90;72;72;97;1520;23700;41;10.5;1770;27;80;79;1400;2110;Perpignan - Via Domitia_30;disc03_30;n1W55
2015;MASTER LMD;0660437S;Perpignan - Via Domitia;;A11;Montpellier;DEG;Droit, Économie et gestion;disc03;Économie;18 mois après le diplôme;;40;71;21;77;53;54;97;ns;ns;41;10.5;1770;20;80;79;1400;2110;Perpignan - Via Domitia_18;disc03_18;n1W55
2015;MASTER LMD;0660437S;Perpignan - Via Domitia;;A11;Montpellier;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;7;41;6;ns;ns;ns;ns;ns;ns;41;10.5;1770;ns;ns;ns;1400;2110;Perpignan - Via Domitia_18;disc06_18;n1W55
2015;MASTER LMD;0660437S;Perpignan - Via Domitia;;A11;Montpellier;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;25;60;15;ns;ns;ns;ns;ns;ns;41;10.5;1770;ns;ns;ns;1400;2110;Perpignan - Via Domitia_30;disc12_30;n1W55
2015;MASTER LMD;0660437S;Perpignan - Via Domitia;;A11;Montpellier;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;17;68;9;ns;ns;ns;ns;ns;ns;41;10.5;1770;ns;ns;ns;1400;2110;Perpignan - Via Domitia_30;disc13_30;n1W55
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;DEG;Droit, Économie et gestion;disc02;Droit;30 mois après le diplôme;;143;79;14;91;85;75;100;2150;33500;26;8.6;1800;68;53;67;1430;2120;Strasbourg_30;disc02_30;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;DEG;Droit, Économie et gestion;disc03;Économie;18 mois après le diplôme;;11;92;1;ns;ns;ns;ns;ns;ns;26;8.6;1800;ns;ns;ns;1430;2120;Strasbourg_18;disc03_18;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;DEG;Droit, Économie et gestion;disc05;Autres formations juridiques, Économiques et de gestion;18 mois après le diplôme;;55;73;5;90;82;28;91;1900;29600;26;8.6;1800;63;76;65;1430;2120;Strasbourg_18;disc05_18;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;129;80;12;83;64;62;85;1500;23400;26;8.6;1800;33;54;78;1430;2120;Strasbourg_18;disc06_18;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;57;83;5;96;91;58;64;1600;25000;26;8.6;1800;83;26;84;1430;2120;Strasbourg_30;disc09_30;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;57;83;5;89;95;41;54;ns;ns;26;8.6;1800;86;26;84;1430;2120;Strasbourg_18;disc09_18;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;39;75;4;93;88;15;80;ns;ns;26;8.6;1800;66;88;44;1430;2120;Strasbourg_18;disc10_18;4k25D
2015;MASTER LMD;0673021V;Strasbourg;;A15;Strasbourg;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;65;73;6;85;88;71;96;2080;32500;26;8.6;1800;63;60;38;1430;2120;Strasbourg_30;disc17_30;4k25D
